@relation asd.arff

@attribute parens numeric
@attribute avg_tok_lens numeric
@attribute wh_words numeric
@attribute slangs numeric
@attribute numSents numeric
@attribute commas numeric
@attribute prop_nouns numeric
@attribute comm_nouns numeric
@attribute avg_sent_lens numeric
@attribute third_person_prns numeric
@attribute conjs numeric
@attribute caps numeric
@attribute sec_person_prns numeric
@attribute adverbs numeric
@attribute ellipses numeric
@attribute cols_semicols numeric
@attribute future_verbs numeric
@attribute past_verbs numeric
@attribute dashes numeric
@attribute first_person_prns numeric
@attribute twit {nytimes_out.twt,TheOnion_out.twt,Reuters_out.twt,CBCNews_out.twt,torontostarnews_out.twt}

@data
0,3.58823529412,0,0,1,1,5,7,19.0,0,0,0,0,1,0,0,0,0,0,0,nytimes_out.twt
0,4.625,0,0,1,0,4,1,9.0,0,0,0,0,0,0,0,0,0,0,0,nytimes_out.twt
0,5.33333333333,0,0,3,1,4,5,4.66666666667,0,0,0,0,0,0,0,0,0,0,0,nytimes_out.twt
0,3.90909090909,0,0,1,0,3,4,12.0,0,0,0,0,0,0,0,0,0,0,0,nytimes_out.twt
0,5.44444444444,0,0,1,0,4,1,10.0,0,0,0,0,0,0,0,0,0,0,0,nytimes_out.twt
0,5.9,0,0,1,2,7,2,15.0,0,0,0,0,0,1,1,0,0,0,0,nytimes_out.twt
0,5.77777777778,0,0,1,2,4,2,12.0,0,0,0,0,0,0,0,0,0,0,0,nytimes_out.twt
0,6.14285714286,0,0,1,0,1,3,8.0,0,0,0,0,0,0,0,0,0,0,0,nytimes_out.twt
0,5.5,0,0,2,1,4,4,6.0,0,0,0,0,1,0,0,0,0,0,0,nytimes_out.twt
0,4.33333333333,0,0,1,0,6,2,14.0,0,0,0,0,0,1,1,0,0,0,0,nytimes_out.twt
0,4.26086956522,0,0,2,1,1,7,13.5,1,0,0,0,2,0,0,0,0,0,0,nytimes_out.twt
0,5.25,0,0,1,0,3,1,9.0,0,0,0,0,0,0,0,0,0,0,0,nytimes_out.twt
0,4.81818181818,0,0,1,0,3,2,12.0,0,0,0,0,0,0,0,0,0,0,0,nytimes_out.twt
0,4.45454545455,0,0,1,1,1,6,13.0,1,0,0,0,0,0,0,0,0,0,0,nytimes_out.twt
0,5.66666666667,0,0,1,1,1,8,18.0,0,0,0,0,0,1,1,0,0,0,1,nytimes_out.twt
0,4.05882352941,0,0,2,0,1,4,11.0,0,0,0,2,1,1,1,0,0,0,1,nytimes_out.twt
