@relation popvsnews.arff

@attribute parens numeric
@attribute avg_tok_lens numeric
@attribute wh_words numeric
@attribute slangs numeric
@attribute numSents numeric
@attribute commas numeric
@attribute prop_nouns numeric
@attribute comm_nouns numeric
@attribute avg_sent_lens numeric
@attribute third_person_prns numeric
@attribute conjs numeric
@attribute caps numeric
@attribute sec_person_prns numeric
@attribute adverbs numeric
@attribute ellipses numeric
@attribute cols_semicols numeric
@attribute future_verbs numeric
@attribute past_verbs numeric
@attribute dashes numeric
@attribute first_person_prns numeric
@attribute twit {popstars,news}

@data
0,2.70967741935,0,0,2,0,0,9,16.5,2,0,0,1,2,0,0,0,0,0,3,popstars
0,4.0,0,0,1,0,2,13,32.0,0,0,1,3,1,0,0,0,1,0,1,popstars
0,2.49382716049,1,0,7,0,1,34,12.7142857143,0,0,0,0,4,1,1,0,0,0,16,popstars
0,3.08823529412,0,0,2,1,2,8,19.0,1,0,2,0,1,0,0,0,0,0,4,popstars
0,4.90476190476,0,0,1,0,2,10,22.0,1,0,2,1,1,0,0,0,1,0,0,popstars
0,3.34782608696,0,0,2,0,2,6,12.5,2,0,1,0,1,0,0,0,0,0,0,popstars
0,5.75,0,0,6,0,0,8,1.5,0,0,0,0,0,0,0,0,0,0,0,popstars
0,4.08695652174,1,0,1,0,0,9,27.0,0,0,0,1,1,1,1,0,0,0,1,popstars
0,3.73076923077,0,0,1,0,1,6,30.0,1,0,1,1,3,1,1,0,0,0,0,popstars
0,4.08695652174,1,0,1,0,2,9,28.0,0,0,8,3,1,1,1,0,1,0,0,popstars
0,4.28,0,0,1,2,6,8,30.0,0,0,0,0,1,1,1,0,0,0,0,popstars
1,4.65217391304,0,0,1,1,1,8,27.0,1,0,5,1,2,1,1,0,2,0,1,popstars
0,2.95652173913,0,0,1,0,3,33,49.0,0,0,4,2,2,0,0,0,1,0,1,popstars
0,4.52173913043,0,0,1,0,1,8,26.0,0,0,0,0,4,1,0,0,0,0,2,popstars
0,5.4,1,0,1,1,0,4,18.0,1,0,0,1,2,1,0,0,1,0,1,popstars
0,3.83333333333,0,0,1,0,1,13,33.0,0,0,0,0,1,0,0,0,1,0,1,popstars
0,3.75862068966,0,0,1,0,1,12,30.0,0,0,1,3,4,1,1,0,2,0,0,popstars
0,3.83333333333,1,0,3,0,1,16,12.6666666667,0,0,2,2,2,0,0,0,0,0,2,popstars
0,3.95833333333,0,0,2,1,1,10,13.0,1,0,0,1,0,0,0,0,0,0,1,popstars
0,3.85714285714,1,0,2,1,2,4,15.5,3,0,0,2,2,0,0,0,2,0,0,popstars
0,5.7,0,0,5,0,1,8,2.8,0,0,0,0,0,0,0,0,0,0,0,popstars
0,7.16666666667,0,0,1,2,4,7,18.0,0,0,0,0,0,2,1,0,0,0,0,popstars
1,3.90909090909,0,0,1,0,1,14,39.0,0,0,1,2,1,2,2,0,3,0,2,popstars
1,4.11111111111,0,0,1,0,0,6,21.0,0,0,0,3,2,0,0,0,0,0,0,popstars
0,5.0,0,0,1,2,0,4,12.0,0,0,0,0,0,1,1,0,0,0,0,popstars
0,4.0,0,0,4,1,2,15,7.0,0,0,1,0,1,0,0,0,2,0,2,popstars
0,2.75,0,0,1,0,1,0,5.0,0,0,0,0,0,0,0,0,0,0,0,popstars
0,3.5,1,0,1,0,0,3,13.0,0,0,0,0,1,0,0,0,0,0,0,popstars
0,3.95,1,0,1,1,3,4,23.0,1,0,1,0,1,1,1,0,0,0,0,popstars
1,4.9,1,0,1,0,0,4,12.0,0,0,0,1,0,0,0,1,0,0,0,popstars
1,4.75,1,0,2,0,5,5,11.5,0,0,0,0,1,1,0,0,0,0,0,popstars
0,3.6,0,0,2,0,0,4,6.0,0,0,0,0,2,0,0,0,0,0,0,popstars
0,2.75,0,0,1,0,1,0,5.0,0,0,0,0,0,0,0,0,0,0,0,popstars
1,3.84615384615,0,0,3,1,2,10,11.3333333333,0,0,1,4,3,2,2,0,1,0,1,popstars
0,4.55555555556,1,0,1,0,0,3,10.0,0,0,0,0,0,0,0,0,0,0,0,popstars
0,4.16,0,0,2,0,4,8,14.0,1,0,2,1,1,0,0,0,0,0,0,popstars
0,4.05263157895,0,0,1,0,1,7,21.0,0,0,2,1,2,0,0,0,0,0,0,popstars
0,6.25,0,0,1,0,0,4,8.0,0,0,1,0,0,0,0,0,0,0,0,popstars
0,4.07142857143,0,0,1,0,4,8,30.0,0,0,2,3,0,0,0,0,2,0,0,popstars
0,4.76,0,0,2,0,3,9,13.0,0,0,1,1,1,0,0,0,0,0,1,popstars
0,3.44444444444,1,0,2,0,7,5,14.5,0,0,0,1,0,1,1,0,0,0,1,popstars
0,4.07692307692,0,0,2,0,0,5,7.5,0,0,0,0,0,0,0,0,0,0,0,popstars
0,4.60869565217,0,0,3,0,0,14,10.0,0,0,0,0,0,0,0,0,0,0,1,popstars
0,4.63157894737,0,0,5,0,2,8,5.4,1,0,0,2,1,0,0,0,0,0,1,popstars
0,6.75,0,0,1,2,2,9,18.0,0,0,0,0,0,2,1,0,0,0,0,popstars
0,4.0,0,0,1,0,0,6,19.0,0,0,0,0,0,1,1,0,1,0,0,popstars
0,4.38461538462,0,0,6,1,1,9,3.5,0,0,0,0,1,0,0,0,0,0,0,popstars
0,5.07142857143,1,0,1,0,1,8,17.0,0,0,1,0,0,1,1,0,0,0,1,popstars
0,5.19047619048,0,0,1,5,8,5,27.0,0,0,0,0,2,0,0,0,1,0,0,popstars
0,2.75757575758,0,0,4,0,5,10,9.25,0,0,0,0,0,0,0,0,0,0,0,popstars
0,4.33333333333,0,0,2,0,0,8,14.0,0,0,0,0,1,0,0,0,2,0,1,popstars
0,3.375,0,0,1,0,1,6,9.0,0,0,0,0,0,0,0,0,0,0,0,popstars
0,3.70666666667,0,0,5,0,8,40,16.4,1,0,2,0,0,0,0,0,0,0,18,popstars
0,4.0,0,0,3,0,1,5,6.33333333333,1,0,0,1,2,0,0,0,1,0,0,popstars
0,4.0,0,0,1,1,5,3,33.0,2,0,0,0,1,1,0,0,5,0,1,popstars
0,4.57142857143,0,0,2,0,2,8,11.0,0,0,1,0,0,0,0,0,0,0,2,popstars
0,3.1875,0,0,2,1,6,12,18.0,0,0,1,1,0,1,1,0,0,0,0,popstars
0,4.45454545455,0,0,1,2,3,5,13.0,0,0,0,0,0,0,0,0,0,0,0,popstars
0,4.0,0,0,1,0,0,7,26.0,0,0,0,0,1,0,0,0,0,0,1,popstars
0,4.125,0,0,2,0,1,13,14.5,1,0,3,2,3,0,0,0,2,0,0,popstars
0,3.94736842105,1,0,1,1,2,3,21.0,0,0,0,1,1,0,0,0,0,0,0,popstars
0,5.76470588235,0,0,1,0,2,10,21.0,1,0,1,0,0,1,1,0,0,0,0,popstars
0,4.0,0,0,3,0,3,11,8.66666666667,1,0,0,0,1,0,0,0,0,0,1,popstars
0,8.14285714286,0,0,1,1,1,5,11.0,0,0,0,0,0,2,0,0,0,0,0,popstars
0,3.96296296296,0,0,3,0,1,12,11.0,0,0,1,2,3,1,1,0,0,0,0,popstars
0,3.75,0,0,3,0,0,6,4.66666666667,0,0,1,0,1,0,0,0,1,0,1,popstars
0,14.5,0,0,1,0,0,1,2.0,0,0,0,0,0,0,0,0,0,0,0,popstars
0,4.0,1,0,1,1,2,8,29.0,2,0,0,0,0,0,0,0,1,0,1,popstars
1,4.24,0,0,1,0,1,11,32.0,0,0,18,3,2,2,2,0,3,0,1,popstars
0,5.0,0,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,popstars
0,4.36363636364,0,0,2,1,1,8,13.0,1,0,0,0,0,0,0,1,0,0,0,popstars
0,4.30434782609,1,0,3,0,4,7,9.0,0,0,1,0,1,1,0,0,0,0,2,popstars
0,4.65217391304,0,0,1,0,4,8,27.0,0,0,2,3,1,0,0,0,2,0,1,popstars
0,4.73913043478,0,0,3,0,1,12,9.33333333333,1,0,2,1,1,1,1,0,2,0,1,popstars
0,5.36842105263,0,0,1,0,3,8,22.0,0,0,1,1,1,0,0,0,0,0,0,popstars
0,5.28571428571,0,0,4,0,1,5,2.75,0,0,0,0,0,0,0,0,0,0,0,popstars
0,4.26315789474,0,0,4,0,3,10,5.5,0,0,1,1,0,0,0,0,0,0,0,popstars
0,4.26315789474,0,0,2,0,0,4,10.5,1,0,0,0,1,0,0,0,0,0,2,popstars
0,5.4,0,0,1,0,1,1,11.0,0,0,0,0,2,0,0,0,0,0,0,popstars
0,3.72727272727,0,0,2,0,0,7,11.5,0,0,1,1,1,0,0,0,0,0,1,popstars
0,3.09523809524,0,0,1,0,0,8,24.0,1,0,0,1,0,1,0,0,0,0,1,popstars
0,4.42105263158,0,0,2,0,0,9,10.5,0,0,0,0,2,1,1,0,0,0,0,popstars
1,3.05882352941,0,0,1,0,5,6,19.0,0,0,0,0,0,0,0,0,0,0,0,popstars
0,3.47058823529,1,0,1,0,0,6,19.0,0,0,0,0,0,1,1,0,0,0,0,popstars
1,4.0,0,0,1,0,1,10,29.0,0,0,4,1,1,1,1,0,1,0,3,popstars
0,4.0,0,0,5,0,2,10,4.8,0,0,0,2,1,0,0,0,0,0,0,popstars
0,4.15,0,0,1,0,5,3,25.0,0,0,0,0,0,1,1,1,0,0,0,popstars
