@relation popstars.arff

@attribute parens numeric
@attribute avg_tok_lens numeric
@attribute wh_words numeric
@attribute slangs numeric
@attribute numSents numeric
@attribute commas numeric
@attribute prop_nouns numeric
@attribute comm_nouns numeric
@attribute avg_sent_lens numeric
@attribute third_person_prns numeric
@attribute conjs numeric
@attribute caps numeric
@attribute sec_person_prns numeric
@attribute adverbs numeric
@attribute ellipses numeric
@attribute cols_semicols numeric
@attribute future_verbs numeric
@attribute past_verbs numeric
@attribute dashes numeric
@attribute first_person_prns numeric
@attribute twit {britneyspears_out.twt,justinbieber_out.twt,rihanna_out.twt,ladygaga_out.twt,katyperry_out.twt,taylorswift13_out.twt}

@data
0,3.67857142857,0,0,3,1,6,12,10.6666666667,0,0,1,0,1,1,1,0,0,0,0,britneyspears_out.twt
1,4.28,0,0,3,1,3,9,10.6666666667,0,0,1,2,2,2,2,0,2,0,0,britneyspears_out.twt
0,3.90909090909,0,0,1,0,1,9,28.0,0,0,12,1,2,3,3,0,2,0,2,britneyspears_out.twt
0,4.15384615385,0,0,2,0,4,3,7.5,0,0,0,0,0,0,0,0,0,0,0,britneyspears_out.twt
0,4.625,0,0,2,0,1,7,9.0,1,0,1,0,0,0,0,0,0,0,1,britneyspears_out.twt
0,3.61538461538,0,0,4,0,0,4,4.75,0,0,0,0,1,0,0,0,0,0,0,britneyspears_out.twt
0,4.78947368421,0,0,2,0,1,5,11.0,0,0,0,1,2,0,0,0,0,0,2,britneyspears_out.twt
1,3.05882352941,0,0,1,1,4,7,20.0,0,0,1,0,0,0,0,0,0,0,0,britneyspears_out.twt
0,7.0,0,0,1,2,3,8,18.0,0,0,0,0,0,2,1,0,0,0,0,britneyspears_out.twt
0,4.66666666667,0,0,1,0,1,2,7.0,1,0,0,0,0,0,0,0,0,0,0,britneyspears_out.twt
0,3.5625,0,0,2,1,5,10,17.5,1,0,3,0,0,0,0,0,0,0,0,britneyspears_out.twt
0,3.78947368421,1,0,2,0,1,15,21.0,0,0,1,2,0,0,0,0,0,0,8,britneyspears_out.twt
0,3.8,0,0,2,0,3,5,15.5,0,0,4,1,2,1,0,0,0,0,1,britneyspears_out.twt
0,3.70967741935,1,0,1,1,2,9,35.0,1,0,0,0,0,0,0,0,0,0,2,britneyspears_out.twt
0,3.33333333333,0,0,1,0,3,3,13.0,0,0,0,0,0,1,1,0,0,0,0,britneyspears_out.twt
0,4.95238095238,0,0,1,3,2,5,25.0,0,0,1,0,1,1,1,0,2,0,2,britneyspears_out.twt
0,4.76470588235,0,0,1,0,3,4,19.0,0,0,1,0,1,1,1,0,0,0,0,britneyspears_out.twt
0,4.70833333333,0,0,6,3,9,12,5.33333333333,0,0,0,0,0,0,0,0,2,0,0,britneyspears_out.twt
0,4.54545454545,0,0,1,0,1,8,25.0,1,0,6,2,1,0,0,0,1,0,1,britneyspears_out.twt
0,5.42105263158,0,0,1,0,3,10,22.0,0,0,5,1,2,0,0,0,1,0,0,britneyspears_out.twt
0,4.6,0,0,1,1,1,1,7.0,0,0,0,0,1,0,0,0,0,0,0,britneyspears_out.twt
1,3.25,0,0,1,1,3,7,20.0,0,0,1,0,0,0,0,0,0,0,0,britneyspears_out.twt
0,4.11111111111,0,0,2,0,3,11,15.0,0,0,16,4,2,0,0,0,0,0,2,britneyspears_out.twt
0,5.375,0,0,2,0,3,6,9.5,0,0,0,1,1,1,0,0,0,0,1,britneyspears_out.twt
0,3.75862068966,0,0,1,0,3,5,33.0,2,0,4,4,3,1,1,0,3,0,1,britneyspears_out.twt
